1.83409,2.46275, 3.11933, 0.101512,-0.000286604,0.00806753, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
1.83409,2.46275, 3.11933, 0.101512,-0.000286604,0.00806753, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
1.83407,2.46308, 3.11918, 0.10147,1.68375e-05,0.00806942, 0.0998099, 0.099624, 0.0999964, 0.0999306, 0.0999897, 0.0999989
1.83151,2.46304, 3.11616, 0.10318,-0.00112319,0.00786482, 0.0945823, 0.0953119, 0.0996871, 0.0964624, 0.0974824, 0.0999484
1.83172,2.46681, 3.11556, 0.101038,0.0012462,0.00802452, 0.0934765, 0.0944989, 0.0996181, 0.096061, 0.0962382, 0.0999441
1.83163,2.46928, 3.11413, 0.096827,0.00556686,0.00864997, 0.0915474, 0.0918868, 0.0994792, 0.0937288, 0.0934857, 0.0998962
1.83157,2.46997, 3.11331, 0.0925311,0.00928727,0.00912195, 0.0892796, 0.0886864, 0.0993837, 0.0905873, 0.0909195, 0.0998414
1.83175,2.46955, 3.11296, 0.0891033,0.0127804,0.00941622, 0.086664, 0.0858586, 0.0993096, 0.0871187, 0.0886635, 0.0997824
1.83119,2.4684, 3.1117, 0.086012,0.017534,0.00946439, 0.0834427, 0.0825145, 0.0992498, 0.0830842, 0.0861413, 0.0997236
1.83117,2.46687, 3.11152, 0.0836067,0.0205817,0.00949066, 0.0800377, 0.0789676, 0.0991961, 0.0793133, 0.0838795, 0.0996697
1.83141,2.4657, 3.1116, 0.0808134,0.0240998,0.0094372, 0.0765545, 0.0751995, 0.0991438, 0.075832, 0.0815484, 0.0996229
1.83184,2.46417, 3.11208, 0.0785583,0.0265403,0.00941311, 0.0731765, 0.0713252, 0.0990878, 0.0728384, 0.0794388, 0.09958
1.83204,2.46278, 3.11228, 0.076708,0.0288419,0.00932928, 0.0697946, 0.0672186, 0.0990303, 0.0701608, 0.077144, 0.0995378
1.83247,2.4616, 3.1128, 0.0747393,0.0305434,0.00924897, 0.0664836, 0.0630379, 0.098984, 0.0678672, 0.0746135, 0.0995031
1.83358,2.46032, 3.11416, 0.0719327,0.0322701,0.00912714, 0.0632015, 0.0589665, 0.098939, 0.0655907, 0.0714957, 0.0994702
1.83402,2.45893, 3.11488, 0.0717648,0.0306487,0.00924193, 0.0601416, 0.0550934, 0.0988878, 0.0640035, 0.0687669, 0.0994398
